weeks,weight,next_weeks_change
27-28,0.2703853350788798,-0.05000000000000001
26-27,0.3449001170028508,0.298
25-26,0.46254197027336125,-0.061999999999999986
21-22,0.29416559846664564,-0.36999999999999994
15-16,0.3277405523072438,0.29750000000000004
19-20,0.37264719150468434,0.356
18-19,0.35992409077557763,-0.6279999999999999
14-15,0.5297060190923989,-0.08800000000000001
16-17,0.21080378160124544,-0.1975
22-23,0.1035614013919035,0.51
24-25,0.5120491722559577,0.07199999999999997
23-24,0.38005815038810625,-0.09
20-21,0.5837926708828959,-0.22600000000000003
17-18,0.41818871056113277,-0.25000000000000006
