week,avg(weight),avg(change)
28,0.6603220214024941,-0.05000000000000001
27,0.6670993073304168,0.298
26,0.5776622960043922,-0.061999999999999986
22,0.6165073714138714,-0.36999999999999994
16,0.49988450548084373,0.29750000000000004
20,0.5669481716808427,0.356
19,0.5880554640046453,-0.6279999999999999
15,0.6681666615112917,-0.08800000000000001
17,0.5425543049237982,-0.1975
23,0.5876625835331158,0.51
25,0.6458079763504828,0.07199999999999997
24,0.7378528982564203,-0.09
21,0.7074484200667213,-0.22600000000000003
14,0.5224365099204162,0.5800000000000001
18,0.6011960874373241,-0.25000000000000006
